#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-05-04T09:05:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ554735fb6bb4 
#INFO -out.max=unlimited 
#INFO queryParameters=18 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/AJ/148/30&tab:{J/AJ/148/30/table1}&key:source=J/AJ/148/30&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/148/30/table1
#-order=I
#-out=Vmag
#-out=e_Vmag
#-out=B-V
#-out=e_B-V
#-out=V-I
#-out=e_V-I
#-out=Obs
#-out=OName
#S07=S07
#
#
#RESOURCE=yCat_51480030
#Name: J/AJ/148/30
#Title: BVI photometry of 350 Pleiades stars (Kamai+, 2014)
#Table J_AJ_148_30_table1:
#Name: J/AJ/148/30/table1
#Title: New BVIc Pleiades photometry (corrected version sent by the author)
#---Details of Columns:
#    Vmag (mag)   (F6.3)  [8.7/17.9] The Johnson V band magnitude [ucd=phot.mag;em.opt.V]
#    e_Vmag (mag) (F6.3)  The 1{sigma} error in Vmag [ucd=stat.error;phot.mag;em.opt.V]
#    B-V (mag)    (F6.3)  [0.36/1.84] The Johnson (B-V) color index [ucd=phot.color;em.opt.B;em.opt.V]
#    e_B-V (mag)  (F6.3)  The 1{sigma} error in B-V [ucd=stat.error;phot.color;em.opt.B]
#    V-I (mag)    (F6.3)  [0.36/3.33] The Kron-Cousins (V-Ic) color index [ucd=phot.color;em.opt.V;em.opt.I]
#    e_V-I (mag)  (F6.3)  The 1{sigma} error in V-I [ucd=stat.error;phot.color;em.opt.V]
#    Obs          (A1)    [abc] binary or non-member star (1) [ucd=meta.code;obs.param;obs]
#    OName        (a16)   Other stellar names (3) [ucd=meta.id]
#------ ------ ------ ------ ------ ------ - ----------------
#                                          O                 
#Vmag   e_Vmag B-V    e_B-V  V-I    e_V-I  b                 
#(mag)  (mag)  (mag)  (mag)  (mag)  (mag)  s OName           
#------ ------ ------ ------ ------ ------ - ----------------
10.901  0.023  0.742  0.019  0.802  0.019   
10.948  0.018  0.724  0.012  0.805  0.016   
10.998  0.022  0.717  0.010  0.793  0.016   AKII293
11.037  0.023  0.773  0.019  0.844  0.019   
11.054  0.019  0.724  0.010  0.811  0.018   
11.083  0.022  0.767  0.010  0.813  0.016   
11.102  0.023  0.756  0.019  0.891  0.019   
11.140  0.022  0.714  0.010  0.781  0.016   AKIII700
11.148  0.022  0.732  0.010  0.802  0.016   
11.178  0.022  0.791  0.010  0.839  0.016   AK1B055
11.224  0.022  0.816  0.010  0.873  0.016   
11.303  0.022  0.826  0.010  0.856  0.016   
11.308  0.022  0.790  0.010  0.860  0.016   AKIII391
11.346  0.022  0.825  0.010  0.881  0.016   AKIV131
11.360  0.022  0.811  0.010  0.865  0.016   
11.364  0.022  0.808  0.010  0.945  0.016   
11.397  0.022  0.797  0.010  0.881  0.016   
11.445  0.022  0.822  0.010  0.883  0.016   AKV308
11.461  0.022  0.827  0.010  0.941  0.016   Tr122,HII345
11.485  0.022  0.848  0.010  0.918  0.016   
11.490  0.023  0.953  0.019  1.094  0.019 a 
11.491  0.022  0.813  0.010  0.888  0.016   
11.524  0.019  0.819  0.010  0.931  0.018   
11.543  0.019  0.827  0.010  0.963  0.018   
11.560  0.022  0.858  0.010  0.940  0.016   
11.562  0.018  0.840  0.012  0.928  0.016   
11.655  0.022  0.873  0.010  0.927  0.016   
11.684  0.022  0.877  0.010  0.971  0.016   
11.716  0.022  0.876  0.010  0.963  0.016   
11.718  0.019  0.985  0.015  1.148  0.019 a 
11.722  0.011  0.843  0.012  0.896  0.018   AKIII59
11.771  0.018  0.863  0.012  1.047  0.016   
11.840  0.022  0.905  0.011  1.068  0.016 b 
11.865  0.022  1.042  0.011  1.143  0.016 a AK1B288
11.899  0.022  0.909  0.011  1.140  0.016 b 
11.928  0.023  1.064  0.019  1.277  0.019 c 
11.963  0.011  0.912  0.013  1.018  0.018   
11.980  0.022  0.939  0.011  1.028  0.017   
12.016  0.011  0.880  0.012  0.958  0.018   
12.053  0.011  0.921  0.013  1.001  0.018   
12.095  0.019  0.931  0.014  1.108  0.018   
12.099  0.022  0.932  0.011  1.084  0.017   
12.101  0.022  0.946  0.011  1.055  0.017   
12.113  0.011  0.934  0.012  1.019  0.018   
12.153  0.022  1.041  0.011  1.225  0.017 a 
12.154  0.022  1.003  0.011  1.177  0.017 b AKIII679
12.160  0.022  0.877  0.011  1.049  0.017   
12.173  0.022  0.911  0.011  1.081  0.017   
12.199  0.013  0.957  0.012  1.069  0.019   
12.206  0.011  0.975  0.013  1.062  0.018   
12.231  0.013  0.983  0.008  1.188  0.011   HII659
12.262  0.011  0.989  0.013  1.065  0.018   
12.316  0.011  0.918  0.013  1.081  0.018   
12.325  0.011  1.016  0.013  1.101  0.018   
12.353  0.019  1.002  0.012  1.186  0.018   
12.392  0.013  0.998  0.013  1.097  0.019   
12.436  0.011  1.032  0.013  1.145  0.018   
12.454  0.020  1.122  0.016  1.361  0.019 a 
12.483  0.014  1.065  0.015  1.255  0.018   AKIV314
12.554  0.011  1.031  0.013  1.147  0.018   
12.686  0.014  1.051  0.016  1.215  0.019   
12.723  0.012  1.062  0.012  1.183  0.018   AK1B078
12.752  0.014  1.089  0.016  1.282  0.019   
12.772  0.011  1.071  0.013  1.227  0.018   
12.786  0.013  1.090  0.012  1.220  0.019   
12.788  0.011  1.071  0.013  1.256  0.018   
12.809  0.017  1.073  0.020  1.282  0.020   HII1454
12.821  0.012  1.097  0.012  1.226  0.018   
12.847  0.011  1.102  0.013  1.288  0.018   
12.849  0.017  1.129  0.012  1.272  0.016   
12.857  0.011  1.066  0.012  1.239  0.018   
12.875  0.015  1.161  0.018  1.431  0.019 b 
12.969  0.009  0.949  0.008  1.114  0.014 c 
12.979  0.012  1.068  0.013  1.301  0.019   
13.059  0.012  1.176  0.013  1.320  0.019   
13.070  0.023  1.311  0.013  1.594  0.017 a 
13.100  0.011  1.204  0.012  1.352  0.018   
13.145  0.012  1.150  0.013  1.382  0.019   
13.167  0.012  1.343  0.014  1.580  0.019 a 
13.189  0.011  1.172  0.012  1.361  0.018   
13.224  0.013  1.171  0.013  1.333  0.019   
13.348  0.012  1.194  0.013  1.376  0.019   
13.361  0.012  1.272  0.013  1.475  0.019   
13.381  0.015  1.119  0.016  1.446  0.019   
13.385  0.022  1.226  0.031  1.494  0.026   Tr203,HII676
13.446  0.012  1.195  0.013  1.395  0.019   
13.586  0.012  1.273  0.014  1.466  0.019   
13.610  0.013  1.380  0.016  1.779  0.019 a 
13.628  0.017  1.256  0.023  1.499  0.022   
13.658  0.017  1.217  0.012  1.404  0.015   
13.749  0.015  1.268  0.056  1.562  0.020   
13.832  0.009  1.330  0.009  1.575  0.014   
13.884  0.017  1.256  0.012  1.512  0.015   
13.916  0.017  1.332  0.012  1.581  0.015   
13.925  0.012  1.320  0.010  1.610  0.016   HII554
13.933  0.013  1.315  0.015  1.657  0.019   
13.942  0.012  1.272  0.014  1.637  0.019   
13.965  0.009  1.348  0.009  1.624  0.014   
13.977  0.013  1.417  0.015  1.912  0.020 a MT104
13.984  0.009  1.371  0.009  1.646  0.014   
13.988  0.009  1.382  0.009  1.595  0.014   
13.999  0.013  1.391  0.015  1.765  0.019 b 
14.001  0.009  1.406  0.009  1.682  0.014   HDH419
14.023  0.015  1.239  0.021  1.544  0.019   
14.028  0.012  1.357  0.010  1.694  0.016   
14.045  0.016  1.359  0.012  1.638  0.017   
14.060  0.009  1.359  0.009  1.668  0.014   
14.121  0.009  1.335  0.010  1.666  0.014   
14.122  0.009  1.323  0.009  1.667  0.014   
14.137  0.018  1.358  0.030  1.764  0.022   
14.152  0.009  1.372  0.010  1.722  0.014   
14.164  0.013  1.420  0.016  1.914  0.020 a 
14.203  0.017  1.377  0.012  1.717  0.015   
14.268  0.009  1.374  0.010  1.745  0.014   
14.329  0.017  1.431  0.012  1.747  0.016   HII390
14.333  0.009  1.410  0.010  1.792  0.014   
14.339  0.018  1.366  0.014  1.800  0.015   HII212
14.344  0.020  1.378  0.015  1.654  0.017   
14.348  0.010  1.357  0.011  1.869  0.015   HII2368
14.422  0.020  1.354  0.015  1.691  0.017   
14.427  0.014  1.389  0.010  1.711  0.016   HII566
14.441  0.009  1.511  0.011  2.064  0.016 a HII370
14.500  0.014  1.433  0.014  1.922  0.016   
14.507  0.009  1.414  0.009  1.870  0.014   
14.510  0.017  1.374  0.012  1.804  0.015   
14.513  0.009  1.431  0.009  1.866  0.014   
14.516  0.009  1.509  0.011  2.025  0.014 a 
14.552  0.020  1.408  0.015  1.805  0.017   
14.553  0.023  1.383  0.021  1.711  0.020 c 
14.567  0.009  1.398  0.010  1.964  0.014   
14.583  0.020  1.442  0.015  1.813  0.017   
14.621  0.017  1.439  0.013  1.928  0.016   
14.625  0.020  1.457  0.016  1.819  0.017   
14.636  0.020  1.460  0.016  1.860  0.017 c 
14.667  0.017  1.399  0.012  1.913  0.015   
14.670  0.010  1.553  0.011  2.098  0.015 b 
14.686  0.014  1.443  0.012  1.814  0.018   
14.686  0.019  1.426  0.014  1.620  0.022 c 
14.725  0.018  1.423  0.014  1.933  0.018   
14.744  0.020  1.483  0.016  1.875  0.017   
14.757  0.021  1.429  0.028  1.984  0.022   
14.769  0.012  1.444  0.013  2.068  0.018   
14.776  0.016  1.417  0.012  1.929  0.017   
14.780  0.018  1.450  0.024  1.922  0.018   
14.813  0.012  1.480  0.015  2.250  0.016 b 
14.820  0.023  1.462  0.025  1.917  0.021   
14.936  0.010  1.495  0.012  2.243  0.015 b 
14.995  0.014  1.472  0.011  2.021  0.016   
15.026  0.024  1.536  0.028  2.018  0.021   
15.068  0.020  1.402  0.017  2.076  0.018   
15.070  0.014  1.508  0.012  2.045  0.016   
15.085  0.020  1.451  0.017  2.084  0.018   
15.099  0.023  1.561  0.028  2.001  0.021   
15.120  0.025  1.522  0.036  2.048  0.023   
15.122  0.010  1.507  0.014  2.331  0.015 b 
15.209  0.024  1.584  0.033  2.100  0.021   
15.221  0.016  1.481  0.013  1.911  0.015 c 
15.230  0.010  1.488  0.016  2.421  0.015 b HII813
15.235  0.025  1.528  0.033  2.101  0.023   
15.238  0.018  1.455  0.013  1.919  0.019 c 
15.246  0.024  1.480  0.033  2.132  0.021   
15.280  0.025  1.534  0.033  2.135  0.022   
15.283  0.020  1.335  0.014  1.667  0.022 c 
15.297  0.024  1.495  0.030  2.121  0.021   
15.341  0.024  1.514  0.035  2.145  0.023   
15.349  0.018  1.472  0.016  2.186  0.015   HII624
15.353  0.017  1.558  0.015  2.384  0.016 b 
15.373  0.026  1.496  0.037  2.097  0.024   
15.383  0.015  1.517  0.013  2.239  0.017   
15.411  0.019  1.522  0.015  2.056  0.022   
15.463  0.026  1.554  0.043  2.214  0.024   
15.470  0.021  1.555  0.021  2.357  0.018 b 
15.498  0.027  1.504  0.045  2.211  0.025   
15.505  0.020  1.536  0.030  2.241  0.019   
15.512  0.019  1.519  0.016  2.229  0.022   
15.522  0.022  1.516  0.049  2.489  0.023 b 
15.554  0.019  1.539  0.015  2.194  0.022   
15.609  0.016  1.523  0.015  2.539  0.015 b 
15.613  0.015  1.681  0.020  2.245  0.017   
15.613  0.020  1.510  0.016  2.257  0.018   
15.631  0.015  1.555  0.014  2.456  0.017 b 
15.654  0.019  1.551  0.017  2.270  0.020   
15.665  0.019  1.553  0.016  2.278  0.022   
15.671  0.023  1.518  0.031  2.484  0.019   
15.683  0.016  1.515  0.015  2.148  0.014 c 
15.691  0.019  1.463  0.025  2.309  0.016   HII673
15.699  0.025  1.622  0.042  2.300  0.022   
15.733  0.018  1.525  0.016  2.260  0.019   
15.737  0.021  1.572  0.021  2.451  0.018 b 
15.737  0.019  1.552  0.016  2.279  0.022   
15.746  0.019  1.578  0.018  2.367  0.020   
15.747  0.015  1.524  0.012  2.230  0.015   
15.751  0.022  1.572  0.029  2.478  0.018 b 
15.761  0.020  1.527  0.010  2.005  0.018 c 
15.795  0.018  1.495  0.015  2.293  0.019   
15.796  0.018  1.547  0.015  2.301  0.019   
15.812  0.018  1.556  0.015  2.305  0.019   
15.837  0.019  1.561  0.016  2.466  0.022   
15.850  0.016  1.424  0.015  2.061  0.020 c 
15.909  0.245  1.580  0.041  2.569  0.020 b 
15.920  0.018  1.516  0.015  2.383  0.019   
15.934  0.016  1.443  0.017  2.321  0.018 c 
15.935  0.016  1.680  0.017  2.319  0.016   
15.937  0.026  1.558  0.050  2.571  0.024 b 
15.967  0.028  1.450  0.045  2.483  0.025   
15.975  0.016  1.561  0.012  2.369  0.015   
15.985  0.018  1.592  0.015  2.392  0.020   
15.991  0.019  1.531  0.017  2.450  0.023   
15.994  0.018  1.433  0.015  2.384  0.020   
16.030  0.019  1.579  0.017  2.477  0.023   
16.044  0.019  1.568  0.017  2.539  0.023 b 
16.068  0.021  1.501  0.024  2.376  0.016   
16.115  0.018  1.546  0.015  2.442  0.020   
16.116  0.016  1.521  0.016  2.384  0.014   
16.117  0.017  1.540  0.017  2.377  0.014   
16.120  0.016  1.547  0.017  2.349  0.018   
16.130  0.015  1.549  0.015  2.346  0.018   
16.132  0.016  1.566  0.015  2.484  0.017   
16.135  0.017  1.530  0.018  2.393  0.014   
16.145  0.016  1.535  0.013  2.461  0.015   
16.147  0.017  1.436  0.017  2.383  0.014   
16.149  0.018  1.550  0.015  2.553  0.020   
16.152  0.015  1.553  0.015  2.401  0.016   
16.155  0.016  1.527  0.015  2.466  0.017   
16.169  0.016  1.390  0.017  2.400  0.018   
16.175  0.016  1.571  0.016  2.523  0.014   
16.187  0.019  1.519  0.017  2.534  0.023   
16.194  0.017  1.559  0.017  2.440  0.014   
16.195  0.018  1.542  0.015  2.554  0.020   
16.217  0.017  1.590  0.018  2.414  0.014   
16.220  0.020  1.599  0.018  2.663  0.023 b 
16.232  0.020  1.595  0.018  2.678  0.023 b 
16.238  0.020  1.559  0.018  2.694  0.023 b 
16.239  0.016  1.557  0.021  2.416  0.018   
16.240  0.019  1.544  0.015  2.520  0.014   
16.247  0.017  1.597  0.016  2.494  0.017   
16.252  0.013  1.505  0.014  2.493  0.016   
16.254  0.031  1.585  0.060  2.713  0.026 b 
16.269  0.013  1.464  0.014  2.543  0.016   
16.281  0.020  1.571  0.014  2.511  0.014   
16.290  0.013  1.499  0.014  2.544  0.016   
16.300  0.016  1.507  0.017  2.440  0.018   
16.320  0.020  1.591  0.018  2.747  0.023 b 
16.322  0.016  1.559  0.017  2.469  0.018   
16.333  0.016  1.523  0.018  2.476  0.018   
16.348  0.018  1.565  0.016  2.647  0.020 b 
16.351  0.016  1.567  0.019  2.430  0.018   
16.353  0.020  1.551  0.016  2.336  0.023 c 
16.358  0.014  1.557  0.015  2.513  0.016   
16.396  0.016  1.537  0.019  2.473  0.018   
16.404  0.016  1.453  0.017  2.478  0.018   HHG63
16.425  0.019  1.614  0.017  2.708  0.020 b 
16.450  0.019  1.573  0.024  2.759  0.020 b 
16.452  0.017  1.600  0.023  2.566  0.015   
16.452  0.017  1.568  0.020  2.449  0.023   
16.457  0.015  1.533  0.017  2.491  0.018   
16.466  0.017  1.588  0.020  2.516  0.023   
16.505  0.016  1.538  0.019  2.527  0.018   
16.509  0.018  1.567  0.021  2.505  0.023   
16.521  0.020  1.625  0.017  2.458  0.023   
16.533  0.017  1.571  0.020  2.493  0.023   
16.572  0.019  1.581  0.017  2.491  0.019   
16.581  0.017  1.577  0.016  2.731  0.017 b 
16.584  0.019  1.577  0.018  2.840  0.020   
16.590  0.018  1.510  0.021  2.568  0.023   
16.590  0.018  1.646  0.021  2.490  0.023   
16.598  0.017  1.741  0.019  2.659  0.015   
16.598  0.016  1.592  0.020  2.562  0.018   
16.603  0.021  1.590  0.013  2.506  0.019   
16.624  0.021  1.587  0.032  2.613  0.018   A23=A57
16.626  0.016  1.598  0.016  2.801  0.017 b 
16.635  0.020  1.628  0.018  2.514  0.019   
16.649  0.016  1.604  0.019  2.619  0.018   
16.676  0.021  1.566  0.012  2.588  0.019   
16.689  0.020  1.597  0.019  2.582  0.019   
16.700  0.021  1.547  0.013  2.584  0.019   
16.701  0.017  1.660  0.024  2.725  0.015   
16.710  0.020  1.608  0.018  2.489  0.019   
16.725  0.019  1.594  0.020  2.845  0.020   
16.738  0.018  1.595  0.021  2.672  0.023   
16.754  0.021  1.518  0.013  2.614  0.019   
16.765  0.017  1.668  0.019  2.942  0.017   
16.773  0.021  1.636  0.014  2.587  0.019   
16.776  0.020  1.592  0.019  2.599  0.019   
16.787  0.018  1.643  0.023  2.676  0.023   
16.789  0.020  1.591  0.018  2.603  0.019   
16.790  0.021  1.698  0.014  2.609  0.019   
16.849  0.020  1.610  0.019  2.655  0.019   
16.858  0.013  1.520  0.017  2.880  0.017   
16.870  0.021  1.631  0.019  2.665  0.023   
16.874  0.018  1.691  0.024  2.657  0.023   
16.879  0.021  1.703  0.019  2.637  0.023   
16.893  0.016  1.611  0.020  2.824  0.018   
16.897  0.020  1.591  0.020  2.701  0.019   
16.953  0.021  1.606  0.015  2.730  0.019   
16.954  0.020  1.579  0.021  2.717  0.019   
16.972  0.021  1.679  0.020  2.732  0.023   
17.007  0.038  1.759  0.120  3.285  0.385   
17.010  0.019  1.612  0.034  2.907  0.017   
17.012  0.018  1.735  0.028  2.940  0.016   
17.018  0.017  1.684  0.026  2.858  0.019   
17.074  0.018  1.657  0.024  2.876  0.023   
17.093  0.018  1.638  0.024  2.891  0.023   
17.110  0.021  1.555  0.016  2.835  0.019   
17.110  0.021  1.650  0.021  2.829  0.023   
17.146  0.014  1.608  0.018  3.076  0.017   
17.157  0.021  1.668  0.019  2.935  0.020   
17.231  0.020  1.654  0.022  2.935  0.020   
17.268  0.021  1.633  0.022  2.911  0.023   
17.450  0.021  1.648  0.028  3.327  0.022   
17.829  0.024  1.831  0.039  3.194  0.026   
##
#END#  -ref=VIZ554735fb6bb4 ===================================================

