#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-09-09T12:20:21 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ522dbc517400	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/375/863&tab:{J/A+A/375/863/table3}&key:source=J/A+A/375/863&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/375/863/table3
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#-out=V-I
#-out=F1
#-out=F2
#-out=F3
#-out=F4
#-out=F5
#
#
#RESOURCE=yCat_33750863
#Name: J/A+A/375/863
#Title: Photometry in NGC 2516 (Jeffries+, 2001)
#Table	J_A_A_375_863_table3:
#Name: J/A+A/375/863/table3
#Title: The photometric catalogue for NGC 2516
#Column	ID	(I5)	Star number	[ucd=meta.id]
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? B-V colour index (1)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-I	(F6.3)	? V-I (Cousins) colour index (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	F1	(I2)	[-1/1] V vs B-V membership flag (2)	[ucd=meta.code.member]
#Column	F2	(I2)	[-1/1] V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F3	(I2)	[-1/1] B-V vs V-I membership flag (2)	[ucd=meta.code.member]
#Column	F4	(I2)	[-1/1] Candidate membership flag (3)	[ucd=meta.code.member]
#Column	F5	(I1)	[0/1] Binarity flag (4)	[ucd=meta.code]
#ID;RAJ2000;DEJ2000;Vmag;B-V;V-I;F1;F2;F3;F4;F5
# ;"h:m:s";"d:m:s"; ; ; ; ; ; ; ;
#-----;------------;------------;------;------;------;--;--;--;--;-
   59;07 54 12.645;-60 19 35.64;19.535;      ; 1.949; 0;-1; 0;-1;0
   60;07 54 12.692;-60 48 58.03;15.347; 0.722; 0.961;-1;-1;-1;-1;0
   61;07 54 12.693;-60 31 16.25;15.971; 0.757; 0.903;-1;-1; 1;-1;0
   62;07 54 12.700;-60 31 16.38;15.978; 0.742; 0.942;-1;-1; 1;-1;0
   63;07 54 12.709;-61 07 36.92;19.403;      ; 0.926; 0;-1; 0;-1;0
   64;07 54 12.842;-60 31 33.76;18.904; 0.700; 0.974;-1;-1; 1;-1;0
   65;07 54 12.850;-60 31 33.88;18.858;      ; 0.857; 0;-1; 0;-1;0
   66;07 54 12.882;-61 13 39.00;17.887; 0.911; 1.117;-1;-1; 1;-1;0
   67;07 54 12.895;-61 10 26.49;18.994;      ; 1.929; 0;-1; 0;-1;0
   68;07 54 12.908;-61 07 06.22;16.581; 0.941; 1.068;-1;-1; 1;-1;0
   69;07 54 12.913;-60 43 05.28;19.460;      ; 0.886; 0;-1; 0;-1;0
   70;07 54 12.950;-60 31 03.47;19.493; 0.909;      ;-1; 0; 0;-1;0
   71;07 54 12.954;-60 26 57.02;20.271; 0.769;      ;-1; 0; 0;-1;0
   72;07 54 13.132;-60 40 38.30;18.339; 0.614; 1.033;-1;-1;-1;-1;0
   73;07 54 13.186;-61 11 05.04;16.723; 1.092; 1.172;-1;-1; 1;-1;0
   74;07 54 13.204;-60 19 01.07;17.691;      ; 0.858; 0;-1; 0;-1;0
   75;07 54 13.210;-60 57 12.14;18.246;      ; 2.389; 0; 1; 0; 1;0
   76;07 54 13.238;-60 50 06.13;19.450;      ; 1.192; 0;-1; 0;-1;0
   77;07 54 13.252;-60 29 19.49;17.721; 0.968; 1.095;-1;-1; 1;-1;0
   78;07 54 13.278;-60 29 19.63;17.727; 0.918; 1.075;-1;-1; 1;-1;0
   79;07 54 13.392;-60 29 23.50;17.620; 0.919; 1.036;-1;-1; 1;-1;0
   80;07 54 13.406;-60 44 59.04;20.029;      ; 1.354; 0;-1; 0;-1;0
   81;07 54 13.418;-60 29 23.63;17.671; 0.859; 1.077;-1;-1; 1;-1;0
   82;07 54 13.482;-60 30 03.60;19.251; 0.748; 1.714;-1;-1;-1;-1;0
   83;07 54 13.487;-61 11 34.42;19.979;      ; 0.992; 0;-1; 0;-1;0
   84;07 54 13.496;-60 20 18.34;19.819;      ; 0.844; 0;-1; 0;-1;0
   85;07 54 13.499;-60 30 03.82;19.078; 1.055; 1.451;-1;-1;-1;-1;0
   86;07 54 13.512;-60 48 53.63;16.487; 1.352; 1.460; 1;-1;-1;-1;0
   87;07 54 13.552;-60 40 32.52;19.266;      ; 1.506; 0;-1; 0;-1;0
   88;07 54 13.575;-60 27 24.12;19.029; 0.570; 0.750;-1;-1; 1;-1;0
   89;07 54 13.609;-60 22 46.67;18.459; 1.331; 1.574;-1;-1; 1;-1;0
   90;07 54 13.683;-60 58 38.58;19.447;      ; 1.434; 0;-1; 0;-1;0
   91;07 54 13.770;-61 08 19.27;19.229;      ; 1.210; 0;-1; 0;-1;0
   92;07 54 13.775;-60 59 24.29;17.643; 0.449; 0.689;-1;-1; 1;-1;0
   93;07 54 13.920;-61 01 44.99;19.745;      ; 0.880; 0;-1; 0;-1;0
   94;07 54 13.923;-60 43 07.00;19.346; 0.582; 1.409;-1;-1;-1;-1;0
   95;07 54 13.961;-60 43 32.50;19.965;      ; 1.350; 0;-1; 0;-1;0
   96;07 54 13.997;-60 50 12.04;19.650;      ; 2.849; 0; 1; 0; 1;0
   97;07 54 14.021;-60 32 06.48;13.675; 0.662; 0.793;-1;-1; 1;-1;0
   98;07 54 14.111;-61 03 38.45;17.511; 0.698; 0.958;-1;-1; 1;-1;0
   99;07 54 14.157;-60 44 52.25;18.741; 0.697; 1.216;-1;-1;-1;-1;0
  100;07 54 14.168;-60 21 36.56;19.581; 1.012; 1.131;-1;-1; 1;-1;0
  101;07 54 14.185;-60 27 13.08;17.239; 0.629; 0.771;-1;-1; 1;-1;0
  102;07 54 14.186;-60 44 55.59;18.150; 0.754; 1.104;-1;-1;-1;-1;0
  103;07 54 14.203;-60 58 16.24;19.778;      ; 0.830; 0;-1; 0;-1;0
  104;07 54 14.209;-60 56 25.11;18.191; 1.068; 1.427;-1;-1;-1;-1;0
  105;07 54 14.294;-60 26 12.86;19.857; 0.392;      ;-1; 0; 0;-1;0
  106;07 54 14.300;-60 34 51.57;19.968;      ; 1.766; 0;-1; 0;-1;0
  107;07 54 14.306;-61 06 12.97;18.218;      ; 2.381; 0; 1; 0; 1;0
  108;07 54 14.374;-60 53 46.62;19.180;      ; 1.357; 0;-1; 0;-1;0
  109;07 54 14.385;-60 18 59.19;19.936;      ; 0.251; 0;-1; 0;-1;0
  110;07 54 14.443;-60 25 29.12;13.805; 0.525; 0.729;-1;-1; 1;-1;0
  111;07 54 14.456;-60 54 36.14;14.092; 1.144; 1.334;-1;-1; 1;-1;0
  112;07 54 14.491;-60 23 45.92;18.125; 1.470; 1.835; 1;-1; 1;-1;0
  113;07 54 14.600;-60 46 38.76;17.481; 1.017; 1.213;-1;-1; 1;-1;0
  114;07 54 14.619;-60 56 16.83;18.521; 1.038; 1.088;-1;-1; 1;-1;0
  115;07 54 14.717;-60 21 03.78;16.482; 0.812; 1.128;-1;-1;-1;-1;0
  116;07 54 14.725;-60 50 49.40;19.171;      ; 1.564; 0;-1; 0;-1;0
  117;07 54 14.737;-60 28 13.32;18.997; 1.031; 1.381;-1;-1;-1;-1;0
  118;07 54 14.741;-61 13 26.67;18.239; 1.461; 1.695; 1;-1; 1;-1;0
  119;07 54 14.756;-60 59 55.07;18.237; 0.702; 1.039;-1;-1;-1;-1;0
  120;07 54 14.773;-60 51 34.99;17.290; 0.751; 0.979;-1;-1; 1;-1;0
  121;07 54 14.830;-60 46 44.79;19.576;      ; 2.133; 0;-1; 0;-1;0
  122;07 54 14.842;-61 09 14.47;19.468; 1.026; 1.266;-1;-1; 1;-1;0
  123;07 54 14.889;-60 36 16.96;18.074; 0.730; 0.945;-1;-1; 1;-1;0
  124;07 54 14.892;-61 04 12.44;17.934; 0.651; 0.983;-1;-1;-1;-1;0
  125;07 54 14.912;-61 02 55.25;19.417;      ; 1.629; 0;-1; 0;-1;0
  126;07 54 14.921;-60 23 49.07;19.148; 0.752; 0.999;-1;-1; 1;-1;0
  127;07 54 14.968;-60 42 16.78;19.923;      ; 2.346; 0;-1; 0;-1;0
  128;07 54 15.006;-60 27 24.25;18.312; 0.730; 0.855;-1;-1; 1;-1;0
  129;07 54 15.011;-61 03 57.08;18.844; 0.613; 1.138;-1;-1;-1;-1;0
  130;07 54 15.035;-60 19 20.33;15.687; 1.173; 1.252; 1;-1; 1;-1;0
  131;07 54 15.059;-60 56 02.34;19.010; 0.759; 1.051;-1;-1; 1;-1;0
  132;07 54 15.067;-60 21 05.32;16.027; 0.804; 1.015;-1;-1; 1;-1;0
  133;07 54 15.126;-60 19 54.50;15.907; 1.062; 1.202;-1;-1; 1;-1;0
  134;07 54 15.138;-60 39 06.72;18.572; 1.202; 1.577;-1;-1; 1;-1;0
  135;07 54 15.152;-60 57 43.92;16.950; 0.836; 1.074;-1;-1;-1;-1;0
  136;07 54 15.173;-60 25 48.42;17.902; 1.503; 2.098; 1; 1; 1; 1;0
  137;07 54 15.179;-60 33 55.06;18.250; 0.809; 1.082;-1;-1; 1;-1;0
  138;07 54 15.338;-60 55 34.23;19.990;      ; 0.715; 0;-1; 0;-1;0
  139;07 54 15.372;-60 24 52.82;18.577; 0.928; 0.894;-1;-1; 1;-1;0
  140;07 54 15.388;-60 38 27.29;18.690; 0.891; 1.336;-1;-1;-1;-1;0
  141;07 54 15.408;-60 36 49.87;17.806; 1.305; 1.361;-1;-1; 1;-1;0
  142;07 54 15.409;-61 00 57.70;18.931;      ; 1.798; 0;-1; 0;-1;0
  143;07 54 15.459;-60 56 15.47;20.908;      ; 1.005; 0;-1; 0;-1;0
  144;07 54 15.493;-60 58 07.99;14.371; 0.958; 1.147; 1; 1; 1; 1;1
  145;07 54 15.499;-60 32 30.89;18.965;      ; 2.479; 0; 1; 0; 1;0
  146;07 54 15.500;-60 52 19.88;19.671;      ; 1.203; 0;-1; 0;-1;0
  147;07 54 15.529;-60 32 41.45;18.323; 0.851; 0.885;-1;-1; 1;-1;0
  148;07 54 15.537;-60 47 39.82;17.406; 0.774; 1.070;-1;-1;-1;-1;0
  149;07 54 15.538;-60 21 46.39;18.274; 0.628; 0.836;-1;-1; 1;-1;0
  150;07 54 15.598;-60 34 53.39;19.890;      ; 1.945; 0;-1; 0;-1;0
  151;07 54 15.634;-61 10 05.67;19.475;      ; 1.684; 0;-1; 0;-1;0
  152;07 54 15.654;-61 05 13.81;17.262; 1.097; 1.203;-1;-1; 1;-1;0
  153;07 54 15.685;-60 19 23.99;19.874;      ; 1.047; 0;-1; 0;-1;0
  154;07 54 15.711;-60 57 10.08;19.845;      ; 0.714; 0;-1; 0;-1;0
  155;07 54 15.712;-61 02 26.66;18.755; 0.908; 1.052;-1;-1; 1;-1;0
  156;07 54 15.733;-60 48 39.20;19.191;      ; 1.334; 0;-1; 0;-1;0
  157;07 54 15.751;-60 57 03.35;19.190; 0.445; 0.959;-1;-1;-1;-1;0
  158;07 54 15.759;-60 31 12.91;18.756; 1.377; 1.672;-1;-1; 1;-1;0
  159;07 54 15.771;-60 31 12.99;18.732; 1.603; 1.703; 1;-1; 1;-1;0
  160;07 54 15.816;-60 50 44.09;13.111; 1.165; 1.294;-1;-1; 1;-1;0
  161;07 54 15.848;-60 21 31.70;18.808; 0.787; 0.965;-1;-1; 1;-1;0
  162;07 54 15.917;-60 28 43.92;18.567; 1.232; 2.079;-1;-1;-1;-1;0
  163;07 54 15.928;-60 37 55.48;17.644; 1.237; 1.513;-1;-1; 1;-1;0
  164;07 54 15.982;-61 09 32.14;17.005; 0.693; 0.979;-1;-1;-1;-1;0
  165;07 54 16.086;-60 19 52.33;16.395; 0.825; 0.974;-1;-1; 1;-1;0
  166;07 54 16.105;-61 05 56.23;19.674;      ; 1.450; 0;-1; 0;-1;0
  167;07 54 16.137;-60 20 46.54;19.649; 1.026; 1.240;-1;-1; 1;-1;0
  168;07 54 16.137;-60 41 57.30;17.501; 1.478; 1.693; 1;-1; 1;-1;0
  169;07 54 16.157;-60 28 40.93;18.114; 0.924; 1.443;-1;-1;-1;-1;0
  170;07 54 16.158;-60 33 52.23;18.935; 0.925; 0.988;-1;-1; 1;-1;0
  171;07 54 16.247;-60 20 52.88;17.114; 0.958; 1.099;-1;-1; 1;-1;0
  172;07 54 16.348;-60 34 14.99;18.765;      ; 2.315; 0;-1; 0;-1;0
  173;07 54 16.355;-60 53 41.83;20.029;      ; 2.840; 0; 1; 0; 1;0
  174;07 54 16.408;-60 44 25.42;18.972; 1.051; 1.008;-1;-1; 1;-1;0
  175;07 54 16.494;-60 53 09.32;19.286; 0.741; 1.135;-1;-1;-1;-1;0
  176;07 54 16.507;-60 59 51.82;19.181;      ; 2.795; 0; 1; 0; 1;1
  177;07 54 16.607;-60 37 04.33;18.979;      ; 1.522; 0;-1; 0;-1;0
  178;07 54 16.639;-60 47 08.95;17.182; 0.947; 1.036;-1;-1; 1;-1;0
  179;07 54 16.648;-60 41 43.00;18.923; 0.932; 1.004;-1;-1; 1;-1;0
  180;07 54 16.674;-60 58 16.40;18.264; 1.539; 3.321; 1;-1; 1;-1;0
  181;07 54 16.759;-60 21 43.00;14.954; 0.723; 0.857;-1;-1; 1;-1;0
  182;07 54 16.798;-60 44 35.02;18.857;      ; 0.970; 0;-1; 0;-1;0
  183;07 54 16.804;-60 58 22.41;18.372; 1.016; 1.446;-1;-1;-1;-1;0
  184;07 54 16.816;-60 38 15.54;16.943; 0.879; 1.098;-1;-1; 1;-1;0
  185;07 54 16.830;-60 52 20.95;18.030; 0.489; 0.803;-1;-1; 1;-1;0
  186;07 54 16.903;-61 03 03.35;18.807; 1.164; 1.068;-1;-1;-1;-1;0
  187;07 54 16.913;-60 25 00.55;17.822; 0.652; 0.828;-1;-1; 1;-1;0
  188;07 54 16.929;-61 08 13.88;19.344;      ; 0.650; 0;-1; 0;-1;0
  189;07 54 16.966;-60 27 36.34;18.760; 0.912; 1.324;-1;-1;-1;-1;0
  190;07 54 17.035;-60 19 03.50;20.228;      ; 2.555; 0;-1; 0;-1;0
  191;07 54 17.141;-61 09 08.66;20.003;      ; 3.386; 0;-1; 0;-1;0
  192;07 54 17.181;-60 46 27.67;18.764;      ; 2.803; 0; 1; 0; 1;1
  193;07 54 17.185;-60 42 34.51;17.945; 1.018; 0.998;-1;-1; 1;-1;0
  194;07 54 17.205;-60 42 34.42;18.005; 0.880; 1.041;-1;-1; 1;-1;0
  195;07 54 17.279;-60 21 55.56;15.918; 0.533; 0.683;-1;-1; 1;-1;0
  196;07 54 17.356;-60 32 20.81;17.860; 0.690; 1.093;-1;-1;-1;-1;0
  197;07 54 17.397;-60 30 16.64;18.858; 0.746; 0.949;-1;-1; 1;-1;0
  198;07 54 17.401;-61 04 03.82;18.577; 0.795; 1.073;-1;-1; 1;-1;0
  199;07 54 17.410;-60 30 16.77;18.964; 0.549; 0.989;-1;-1;-1;-1;0
  200;07 54 17.448;-61 07 28.82;18.940; 0.773; 1.115;-1;-1;-1;-1;0
  201;07 54 17.486;-60 32 45.21;18.003; 0.623; 0.870;-1;-1; 1;-1;0
  202;07 54 17.526;-60 27 04.97;19.520;      ; 2.084; 0;-1; 0;-1;0
  203;07 54 17.603;-60 46 02.39;16.578; 0.855; 1.062;-1;-1; 1;-1;0
  204;07 54 17.606;-60 32 41.93;18.413; 0.594; 1.048;-1;-1;-1;-1;0
  205;07 54 17.636;-60 36 07.42;19.732;      ; 1.033; 0;-1; 0;-1;0
  206;07 54 17.645;-60 39 23.03;19.495;      ; 1.127; 0;-1; 0;-1;0
  207;07 54 17.657;-61 07 02.71;19.945;      ; 1.581; 0;-1; 0;-1;0
  208;07 54 17.715;-60 26 25.50;19.498; 0.884; 1.001;-1;-1; 1;-1;0
  209;07 54 17.715;-60 36 10.46;19.937;      ; 1.236; 0;-1; 0;-1;0
  210;07 54 17.727;-60 20 18.76;20.278;      ; 1.512; 0;-1; 0;-1;0
  211;07 54 17.775;-60 53 37.55;15.626; 0.655; 0.856;-1;-1; 1;-1;0
  212;07 54 17.829;-60 21 29.34;19.162; 0.577; 0.905;-1;-1;-1;-1;0
  213;07 54 17.845;-60 40 50.66;19.890;      ; 1.143; 0;-1; 0;-1;0
  214;07 54 17.876;-60 30 16.84;19.733;      ; 1.460; 0;-1; 0;-1;0
  215;07 54 17.892;-60 23 48.86;18.903; 0.747; 0.923;-1;-1; 1;-1;0
  216;07 54 17.961;-60 23 35.18;12.806; 0.217; 0.274;-1;-1; 1;-1;0
  217;07 54 17.987;-60 54 37.48;16.789; 1.225; 1.412;-1;-1; 1;-1;0
  218;07 54 18.085;-60 53 25.81;19.994;      ; 1.058; 0;-1; 0;-1;0
  219;07 54 18.098;-60 28 39.11;18.927; 0.878; 1.024;-1;-1; 1;-1;0
  220;07 54 18.104;-60 51 14.23;19.155; 0.447; 1.293;-1;-1;-1;-1;0
  221;07 54 18.113;-60 40 22.87;16.542; 0.479; 0.659;-1;-1; 1;-1;0
  222;07 54 18.127;-60 54 39.63;16.908; 1.231; 1.377;-1;-1; 1;-1;0
  223;07 54 18.154;-60 39 43.83;18.592; 0.885; 1.153;-1;-1; 1;-1;0
  224;07 54 18.207;-60 20 26.13;18.660; 0.902; 0.958;-1;-1; 1;-1;0
  225;07 54 18.215;-60 50 47.63;19.397; 1.215; 0.396;-1;-1;-1;-1;0
  226;07 54 18.246;-60 27 28.13;19.826;      ; 1.293; 0;-1; 0;-1;0
  227;07 54 18.275;-60 58 16.02;15.431; 0.950; 1.096;-1;-1; 1;-1;0
  228;07 54 18.333;-61 02 22.28;19.776; 0.509; 0.307;-1;-1;-1;-1;0
  229;07 54 18.344;-60 40 05.98;17.826; 1.628; 1.800; 1;-1;-1;-1;0
  230;07 54 18.345;-60 31 48.22;19.137; 0.866; 0.907;-1;-1; 1;-1;0
  231;07 54 18.427;-60 54 32.47;20.721;      ; 2.376; 0;-1; 0;-1;0
  232;07 54 18.439;-60 55 14.37;17.554; 0.776; 1.083;-1;-1;-1;-1;0
  233;07 54 18.481;-60 49 21.68;18.099; 0.638; 1.060;-1;-1;-1;-1;0
  234;07 54 18.485;-60 48 05.16;17.846; 1.167; 1.334;-1;-1; 1;-1;0
  235;07 54 18.522;-60 23 57.18;16.951; 0.762; 0.921;-1;-1; 1;-1;0
  236;07 54 18.545;-60 34 03.24;17.097; 0.776; 1.402;-1;-1;-1;-1;0
  237;07 54 18.548;-60 41 51.47;18.438; 1.545; 2.441; 1; 1; 1; 1;0
  238;07 54 18.595;-60 29 36.40;19.775;      ; 2.715; 0; 1; 0; 1;0
  239;07 54 18.632;-61 09 51.75;16.487; 1.478; 2.292; 1;-1; 1;-1;0
  240;07 54 18.639;-60 29 36.47;19.930;      ; 2.859; 0; 1; 0; 1;0
  241;07 54 18.654;-60 35 29.26;17.951; 0.843; 1.003;-1;-1; 1;-1;0
  242;07 54 18.688;-60 44 24.38;17.860; 0.807; 1.054;-1;-1; 1;-1;0
  243;07 54 18.766;-60 42 22.87;16.018; 1.352; 1.593; 1; 1; 1; 1;0
  244;07 54 18.786;-60 19 33.10;18.987; 0.595; 0.854;-1;-1; 1;-1;0
  245;07 54 18.805;-60 50 56.41;18.272;      ; 2.396; 0; 1; 0; 1;0
  246;07 54 18.834;-60 34 03.39;14.154; 1.233; 1.356;-1;-1; 1;-1;0
  247;07 54 18.933;-60 24 57.88;17.852; 0.954; 1.071;-1;-1; 1;-1;0
